storerkey,sku,descr,packkey,Index,Paleta,obal
18833V  X4,4539225 01,P21 PPL MAI2020,C11_24,1005485,C11,
18833V  X4,4538311 03,P21 PPL MAI2020,C11_24,1005486,C11,
18833V  X4,4538305 03,P21 PPL MAI2020,C11_24,1005487,C11,
18833V  X4,4538309 03,P21 PPL MAI2020,C11_24,1005488,C11,
18833V  X4,4538317 03,P21 PPL MAI2020,C11_24,1005489,C11,
18833V  X4,4538320 03,P21 PPL MAI2020,C11_24,1005490,C11,
18833V  X4,4538329 03,P21 PPL MAI2020,C11_24,1005491,C11,
18833V  X4,4538332 03,P21 PPL MAI2020,C11_24,1005492,C11,
18833V  X4,4539231 01,P21 PPL MAI2020,C11_24,1005493,C11,
18833V  X4,4538339 03,P21 PPL MAI2020,C11_24,1005494,C11,
18833V  X4,4538341 03,P21 PPL MAI2020,C11_24,1005495,C11,
18833V  X4,4539230 01,P21 PPL MAI2020,C11_24,1005512,C11,
18833V  X4,4539167 02,P21 PPL MAI2020,C11_24,1005513,C11,
18833V  X4,4539229 01,P21 PPL MAI2020,C11_24,1005514,C11,
18833V  X4,4538316 03,P21 PPL MAI2020,C11_24,1005526,C11,
18833V  X4,4539168 02,P21 PPL MAI2020,C11_24,1005528,C11,
18833V  X4,4538319 03,P21 PPL MAI2020,C11_24,1005529,C11,
18833V  X4,4538322 03,P21 PPL MAI2020,C11_24,1005530,C11,
18833V  X4,4538326 03,P21 PPL MAI2020,C11_24,1005532,C11,
18833V  X4,4538331 03,P21 PPL MAI2020,C11_24,1005533,C11,
18833V  X4,4538336 03,P21 PPL MAI2020,C11_24,1005534,C11,
18833V  X4,4539232 01,P21 PPL MAI2020,C11_24,1005535,C11,
18833V  X4,4538342 03,P21 PPL MAI2020,C11_24,1005536,C11,
18833V  X4,4538343 03,P21 PPL MAI2020,C11_24,1005537,C11,
18833V  X4,4538308 03,P21 PPL MAI2020,C11_24,1005543,C11,
18833V  X4,4539224 01,P21 PPL MAI2020,C11_24,1005544,C11,
18833V  X4,4539227 01,P21 PPL MAI2020,C11_24,1005545,C11,
18833V  X4,4538323 03,P21 PPL MAI2020,C11_24,1005546,C11,
18833V  X4,4538325 03,P21 PPL MAI2020,C11_24,1005547,C11,
18833V  X4,4538328 03,P21 PPL MAI2020,C11_24,1005548,C11,
18833V  X4,4538335 03,P21 PPL MAI2020,C11_24,1005549,C11,
18833V  X4,4538338 03,P21 PPL MAI2020,C11_24,1005550,C11,
18833V  X4,4538318 03,P21 PPL MAI2020,C11_24,1005555,C11,
18833V  X4,4538324 03,P21 PPL MAI2020,C11_24,1005556,C11,
18833V  X4,4538327 03,P21 PPL MAI2020,C11_24,1005557,C11,
18833V  X4,4538330 03,P21 PPL MAI2020,C11_24,1005558,C11,
18833V  X4,4538334 03,P21 PPL MAI2020,C11_24,1005559,C11,
18833V  X4,4538337 03,P21 PPL MAI2020,C11_24,1005560,C11,
18833V  X4,4538303 03,P21 PPL MAI2020,C11_24,1005654,C11,
18833V  X4,4538340 03,P21 PPL MAI2020,C11_24,1005655,C11,
18833V  X4,4539233 01,P21 PPL MAI2020,C11_24,1005656,C11,
18833V  X4,4539168 01,P21 PPL MAI2020,C11_24,1005692,C11,
18833V  X4,4539169 01,P21 PPL MAI2020,C11_24,1005765,C11,
18833V  X4,4538346 01,P21 PPL MAI2020,C11_24,1005777,C11,
18833V  X4,4538151 02,P21 PPL MAI2020,C11_24,1005851,C11,
18833V  X4,4538319 01,P21 PPL MAI2020,C11_24,1005852,C11,
18833V  X4,4538328 01,P21 PPL MAI2020,C11_24,1005853,C11,
18833V  X4,4538343 01,P21 PPL MAI2020,C11_24,1005854,C11,
18833V  X4,4541738 01,P21 PPL OCT22,C11_24,1006379,C11,
18833V  X4,4541740 01,P21 PPL OCT22,C11_24,1006380,C11,
18833V  X4,4541744 01,P21 PPL OCT22,C11_24,1006381,C11,
18833V  X4,4541746 01,P21 PPL OCT22,C11_24,1006382,C11,
18833V  X4,4541747 01,P21 PPL OCT22,C11_24,1006383,C11,
18833V  X4,4541750 01,P21 PPL OCT22,C11_24,1006384,C11,
